2025-02-01 02:03:33,883 - INFO - Epoch 0, Step 118, Loss: 7.809659, Best Loss: 7.624884
2025-02-01 02:03:41,922 - INFO - Epoch 0, Step 119, Loss: 7.773246, Best Loss: 7.624884
2025-02-01 02:03:49,933 - INFO - Epoch 0, Step 120, Loss: 7.709203, Best Loss: 7.624884
2025-02-01 02:03:57,946 - INFO - Epoch 0, Step 121, Loss: 7.830275, Best Loss: 7.624884
2025-02-01 02:04:05,962 - INFO - Epoch 0, Step 122, Loss: 7.628689, Best Loss: 7.624884
2025-02-01 02:04:13,969 - INFO - Epoch 0, Step 123, Loss: 7.881205, Best Loss: 7.624884
2025-02-01 02:04:21,980 - INFO - Epoch 0, Step 124, Loss: 8.079640, Best Loss: 7.624884
2025-02-01 02:04:30,974 - INFO - Epoch 0, Step 125, Loss: 8.060532, Best Loss: 7.624884
2025-02-01 02:04:38,988 - INFO - Epoch 0, Step 126, Loss: 7.923172, Best Loss: 7.624884
2025-02-01 02:04:47,029 - INFO - Epoch 0, Step 127, Loss: 7.790565, Best Loss: 7.624884
2025-02-01 02:04:55,037 - INFO - Epoch 0, Step 128, Loss: 7.843734, Best Loss: 7.624884
2025-02-01 02:05:03,051 - INFO - Epoch 0, Step 129, Loss: 7.845574, Best Loss: 7.624884
2025-02-01 02:05:11,068 - INFO - Epoch 0, Step 130, Loss: 7.888474, Best Loss: 7.624884
2025-02-01 02:05:19,079 - INFO - Epoch 0, Step 131, Loss: 7.730846, Best Loss: 7.624884
2025-02-01 02:05:27,094 - INFO - Epoch 0, Step 132, Loss: 8.034295, Best Loss: 7.624884
2025-02-01 02:05:35,104 - INFO - Epoch 0, Step 133, Loss: 7.849768, Best Loss: 7.624884
2025-02-01 02:05:43,117 - INFO - Epoch 0, Step 134, Loss: 7.972235, Best Loss: 7.624884
2025-02-01 02:05:51,153 - INFO - Epoch 0, Step 135, Loss: 7.663689, Best Loss: 7.624884
2025-02-01 02:05:59,158 - INFO - Epoch 0, Step 136, Loss: 8.126784, Best Loss: 7.624884
